Tanggal,Object_ID,Provinsi,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId
2020/03/09 00:00:00+00,273,Maluku Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,273,51
2020/03/02 00:00:00+00,29,Maluku,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,29,52
2020/03/09 00:00:00+00,274,Maluku,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,274,53
2020/03/02 00:00:00+00,30,Papua Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,30,54
2020/03/09 00:00:00+00,275,Papua Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,275,55
2020/03/02 00:00:00+00,31,Papua,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,31,56
2020/03/09 00:00:00+00,276,Papua,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,276,57
2020/03/02 00:00:00+00,32,Sulawesi Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,32,58
2020/03/09 00:00:00+00,277,Sulawesi Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,277,59
2020/03/02 00:00:00+00,33,Nusa Tenggara Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,33,60
2020/03/09 00:00:00+00,278,Nusa Tenggara Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,278,61
2020/03/02 00:00:00+00,34,Gorontalo,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,34,62
2020/03/09 00:00:00+00,279,Gorontalo,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,279,63
2020/03/09 00:00:00+00,280,Indonesia,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,280,64
2020/03/10 00:00:00+00,281,Aceh,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,281,65
2020/03/10 00:00:00+00,282,Bali,1,1,0,0,0,0,1,0,0,282,66
2020/03/10 00:00:00+00,283,Banten,1,0,0,0,0,0,1,0,0,283,67
2020/03/10 00:00:00+00,284,Kepulauan Bangka Belitung,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,284,68
2020/03/10 00:00:00+00,285,Bengkulu,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,285,69
2020/03/10 00:00:00+00,286,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,286,70
2020/03/10 00:00:00+00,287,DKI Jakarta,23,7,0,0,0,0,23,0,0,287,71
2020/03/10 00:00:00+00,288,Jambi,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,288,72
2020/03/10 00:00:00+00,289,Jawa Barat,2,0,0,0,0,0,2,0,0,289,73
2020/03/10 00:00:00+00,290,Jawa Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,290,74
2020/03/10 00:00:00+00,291,Jawa Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,291,75
2020/03/10 00:00:00+00,292,Kalimantan Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,292,76
2020/03/10 00:00:00+00,293,Kalimantan Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,293,77
2020/03/10 00:00:00+00,294,Kalimantan Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,294,78
